OBJECTID,SiteName,SiteNumber,Longitude,Latitude,Region,Sampling_Type,Location_Notes,x,y
48,GSV25_036,5000001,138.04926601,-34.53092293,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.049266014,-34.530922932
49,GSV25_066,5000002,138.11341024,-34.63020837,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.113410239,-34.6302083699999
50,GSV25_090,5000003,138.35755727,-34.67424998,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.357557274,-34.674249979
51,GSV25_129,5000004,138.36062638,-34.74928951,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.360626376,-34.7492895139999
52,GSV25_203,5000005,138.12185027,-34.88049361,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.121850268,-34.880493609
53,GSV25_466,5000006,138.44057647,-35.2484789,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.440576474,-35.2484788959999
54,GSV25_517,5000007,138.35280017,-35.35114035,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.352800167,-35.351140346
55,GSV25_552,5000008,138.14241325,-35.45671744,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.142413249,-35.456717442
56,GSV25_571,5000009,138.20517638,-35.50520925,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,138.205176378,-35.505209248
57,Spencer Gulf Site 1,5000013,137.481947,-33.22442,Ad hoc - offshore,Full scan (presence of all species),,137.481947,-33.22442
58,Spencer Gulf Site 2,5000014,137.471722,-33.239247,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.471722,-33.239247
59,Spencer Gulf Site 3,5000015,137.469654,-33.257524,Ad hoc - offshore,Full scan (presence of all species),,137.469654,-33.2575239999999
60,Spencer Gulf Site 4,5000016,137.478715,-33.260413,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.478715,-33.260413
61,Spencer Gulf Site 5,5000017,137.482709,-33.244989,Ad hoc - offshore,Full scan (presence of all species),,137.482709,-33.244989
62,Spencer Gulf Site 6,5000018,137.497223,-33.230874,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.497223,-33.230874
63,Ardrossan Jetty,2000001,137.92582193,-34.42513435,Regional - Yorke Peninsula,Full scan (presence of all species),,137.925821927,-34.425134348
64,Marion Bay Jetty,2000002,136.98445464,-35.23796753,Regional - Yorke Peninsula,Quick scan (presence of potentially harmful species),,136.984454641,-35.237967528
65,Port Victoria Jetty,2000003,137.4792946,-34.49507446,Regional - Yorke Peninsula,Full scan (presence of all species),,137.479294599,-34.495074464
66,Point Turton Jetty,2000004,137.35304854,-34.93330647,Regional - Yorke Peninsula,Quick scan (presence of potentially harmful species),,137.353048536,-34.933306467
67,Wallaroo Jetty,2000005,137.61821009,-33.92636007,Regional - Yorke Peninsula,Quick scan (presence of potentially harmful species),,137.618210094,-33.926360068
68,Port Augusta Wharf,2000006,137.75869799,-32.49073841,Regional - Eyre Peninsula,Quick scan (presence of potentially harmful species),,137.75869799,-32.490738413
69,Encounter Bay Boat Ramp,2000007,138.598833,-35.58528251,Regional - Southern Fleurieu,Quick scan (presence of potentially harmful species),,138.598832996,-35.5852825109999
70,Port Elliot Jetty,2000008,138.68442018,-35.53520013,Regional - Southern Fleurieu,Quick scan (presence of potentially harmful species),,138.684420176,-35.53520013
71,American River,4000001,137.79085,-35.77803333,Regional - Kangaroo Island,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site AR-3A,137.79085,-35.77803333
72,Boston Bay,4000002,135.8986,-34.65716667,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site BB-13A,135.8986,-34.65716667
73,Bickers Island,4000003,135.9533167,-34.7509,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site BI-3A,135.9533167,-34.7508999999999
74,Coffin Bay,4000004,135.4743833,-34.61835,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site COB-1,135.4743833,-34.61835
75,Coorong (COR-8A),4000005,139.165566,-35.731924,Regional - Coorong,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site COR-8A,139.165566,-35.7319239999999
76,Coobowie,4000006,137.75245,-35.05815,Regional - Yorke Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site CW-4A,137.75245,-35.05815
77,Denial Bay,4000007,133.5992333,-32.1271,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site DB-10A,133.5992333,-32.1271
78,Haslam,4000008,134.1947667,-32.53053333,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site HA-90A,134.1947667,-32.53053333
79,Kellidie Bay East,4000009,135.4907167,-34.60816667,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site KEL-7A,135.4907167,-34.6081666699999
80,Lower Eyre,4000010,135.9499,-34.65773333,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site LE-1A,135.9499,-34.6577333299999
81,Mount Dutton Bay,4000011,135.4367167,-34.57441667,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site MDB-09A,135.4367167,-34.5744166699999
82,Proper Bay,4000012,135.88075,-34.78833333,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site PB-6A,135.88075,-34.7883333299999
83,Port Douglas,4000013,135.3783833,-34.54616667,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site PD-90A,135.3783833,-34.5461666699999
84,Port Vincent,4000014,137.89155,-34.76426667,Regional - Yorke Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site PV-5A,137.89155,-34.76426667
85,Smoky Bay,4000015,133.8951667,-32.33841667,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SMB-10A,133.8951667,-32.33841667
86,Smoky Bay - Waterwitch,4000016,133.8885167,-32.37596667,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SMB-13A,133.8885167,-32.37596667
87,St Peters Island,4000017,133.6883667,-32.21595,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SP-2A,133.6883667,-32.21595
88,Stansbury,4000018,137.82555,-34.89845,Regional - Yorke Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site ST-5A,137.82555,-34.89845
89,Streaky Bay - Blancheport,4000019,134.2298833,-32.73713333,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site STB-11A,134.2298833,-32.7371333299999
90,Franklin Harbour (SWB-1),4000020,136.9359833,-33.70248333,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SWB-1,136.9359833,-33.70248333
91,Franklin Harbour (SWB-2),4000021,136.92615,-33.70796667,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SWB-2,136.92615,-33.70796667
92,Franklin Harbour (SWB-3),4000022,136.90825,-33.72748333,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SWB-3,136.90825,-33.72748333
93,Franklin Harbour (SWB-4),4000023,136.9141667,-33.7473,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SWB-4,136.9141667,-33.7472999999999
94,Franklin Harbour (SWB-9),4000024,136.9021167,-33.7396,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SWB-9,136.9021167,-33.7395999999999
95,Franklin Harbour (SWB-90A),4000025,136.9048833,-33.75216667,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site SWB-90A,136.9048833,-33.75216667
96,Venus Bay,4000026,134.6725667,-33.22236667,Ad hoc - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site VB-1A,134.6725667,-33.2223666699999
97,Wardang Island,4000027,137.4246654,-34.50707911,Ad hoc - Yorke Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site WI-01A,137.424665401,-34.5070791099999
98,Western Cove,4000028,137.65728333,-35.72761667,Ad hoc - Kangaroo Island,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site WK-03A,137.657283333,-35.7276166679999
99,Streaky Bay - Hummocks,4000029,134.20141667,-32.7184,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site STB-12A,134.201416667,-32.718400001
100,Streaky Bay - Eba Island,4000030,134.24031667,-32.64208333,Regional - Eyre Peninsula,Karenia counts (through the SA Shellfish Quality Assurance Program),SASQAP site STB-16A,134.240316667,-32.6420833339999
101,Whyalla WH-A Surface,6000002,137.46897,-33.27901,Offshore,Karenia counts,,137.46897,-33.27901
102,Whyalla WH-B Surface,6000003,137.54828,-33.11425,Offshore,Karenia counts,,137.54828,-33.11425
103,Whyalla WH-C Surface,6000004,137.62698,-33.06566,Offshore,Karenia counts,,137.62698,-33.06566
